datetime,portfolio_value,cash,return
2024-04-03 15:15:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:52:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:52:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:28:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:28:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:04:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:04:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:41:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:41:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:17:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:17:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:54:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:54:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:30:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:30:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:06:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:06:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:43:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:43:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:19:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:19:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:56:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:56:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:32:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:32:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:08:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:08:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:45:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:45:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:21:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:21:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:58:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:58:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:34:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:34:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:10:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:10:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:47:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:47:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:23:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:23:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:00:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:00:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:37:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:37:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:13:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:13:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:50:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:50:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:26:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:26:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:02:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:02:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:39:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:39:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:15:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:15:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:52:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:52:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:28:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:28:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:04:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:04:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:41:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:41:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:17:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:17:00-04:00,99944.09973144531,94761.69982910156,0.0
